City,Price,Day,Room Type,Shared Room,Private Room,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center _km_,Metro Distance _km_,Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
Paris,218.5665,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,10,70,0,2.4395,0.0642,249.9611,12.168,653.7618,38.4147
Paris,252.3534,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,8,70,0,3.1617,0.2314,231.7249,11.2803,560.9308,32.96
Paris,198.5274,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,8,70,1,3.8295,0.2083,343.7243,16.7324,729.6472,42.8737
Paris,266.3342,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,6,70,1,4.2131,0.3318,299.888,14.5984,724.4349,42.5675
Paris,357.4424,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,70,0,0.8833,0.1848,459.5573,22.346,1114.3289,51.4066
Paris,183.1485,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,8,70,0,1.2281,0.0685,399.8941,19.4449,1059.3607,48.8708
Paris,339.5004,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,7,70,0,0.8832,0.1848,459.562,22.3462,1114.3395,51.4071
Paris,317.5972,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,8,70,0,3.8968,0.6239,711.1784,34.5811,917.0176,42.3042
Paris,280.315,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,7,70,0,5.0701,0.4884,315.2056,15.3269,651.7067,30.0647
Paris,441.5603,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,7,70,1,2.4717,0.0269,455.0042,22.1246,1087.6851,50.1774
Paris,218.5665,Weekend,Private room,FALSE,TRUE,2,FALSE,1,0,10,70,0,2.4395,0.0643,249.9626,12.1545,653.7679,30.1598
Paris,264.7031,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,8,70,0,3.1617,0.2313,231.7247,11.2676,560.931,25.8771
Paris,228.12,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,8,70,1,3.8296,0.2083,343.7258,16.7137,729.6388,33.6599
Paris,266.5672,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,6,70,1,4.2131,0.3318,299.8881,14.5821,724.4509,33.4206
Rome,346.0127,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,9,70,1,7.8126,0.6017,147.1199,3.2602,361.5177,7.8713
Rome,103.8038,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,9,70,3,4.1677,2.1804,331.5599,7.3474,868.6953,18.9139
Rome,163.6546,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,8,70,1,0.5274,0.2435,650.1701,14.4079,1614.6669,35.1558
Rome,161.5505,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,8,70,1,3.5324,0.2895,325.8796,7.2216,994.6666,21.6567
Rome,101.2321,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,8,70,1,3.8707,0.2356,430.3305,9.5362,1066.213,23.2145
Rome,126.7155,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,8,70,1,1.8766,0.1793,245.5219,5.4408,716.1848,15.5934
Rome,282.1874,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,6,70,1,3.4432,0.5932,611.2383,13.5452,1485.6446,32.3467
Rome,124.3775,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,10,70,1,7.402,0.1349,102.5205,2.2719,331.7258,7.2226
Rome,69.2025,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,7,70,0,2.3913,0.1989,211.2193,4.6807,591.8481,12.8862
Rome,69.2025,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,9,70,1,5.5874,0.231,188.0722,4.1677,525.9049,11.4504
Rome,265.1205,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,9,70,1,1.524,0.1996,769.8817,17.0607,1541.8095,33.5695
Rome,119.9355,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,9,70,1,0.2678,0.2518,471.4517,10.4475,1255.7629,27.3415
Rome,345.7789,Weekend,Private room,FALSE,TRUE,2,FALSE,1,0,9,70,1,7.8126,0.6017,147.1202,3.2595,361.5187,7.8766
Rome,103.8038,Weekend,Private room,FALSE,TRUE,2,FALSE,1,0,9,70,3,4.1677,2.1804,331.5591,7.3458,868.6923,18.9267
Rome,163.6546,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,8,70,1,0.5274,0.2435,650.1716,14.4048,1614.6908,35.1802
Rome,161.5505,Weekend,Private room,FALSE,TRUE,2,FALSE,1,0,8,70,1,3.5324,0.2895,325.8775,7.22,994.669,21.6714
Rome,126.9492,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,8,70,1,1.8766,0.1793,245.5219,5.4396,716.1824,15.6039
Rome,208.0752,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,9,70,1,1.5955,0.1884,953.7332,21.1304,1745.8523,38.0379
Rome,113.1555,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,10,70,1,1.0611,0.5818,390.1465,8.6439,1118.3144,24.3654
Rome,69.4363,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,7,70,0,2.3913,0.1989,211.2186,4.6796,591.8454,12.8949
Rome,69.4363,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,9,70,1,5.5874,0.2309,188.0735,4.1669,525.9054,11.4582
Rome,265.8219,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,9,70,1,1.524,0.1996,769.9039,17.0576,1541.8326,33.5928
Rome,120.1693,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,9,70,1,0.2678,0.2518,471.4553,10.4453,1255.7745,27.3603
